rateLimitingCodons,antiShineDelgarno,ttDimerCount,otherPyrDimerCount,weightedPyrDimerCount,methylationSites,repeatRuns,deaminationSites,alkylationSites,oxidationSites,miscSites,hairpinSites,insertionSequences
BBa_C0178,0,48,88,228,109.71359999999999,11,15,80,141,93,36,11,0
BBa_E0044,10,53,160,236,153.9744,4,17,41,165,76,33,3,0
BBa_I732100,8,83,126,377,157.37589999999997,8,11,204,250,180,64,26,1
BBa_K658000,37,58,250,289,225.25490000000002,13,33,69,208,68,32,2,0
BBa_J63003,0,2,0,8,0.7565999999999999,0,0,4,3,7,1,0,0
BBa_K1321005,0,30,10,31,18.581099999999996,0,0,21,31,1,0,0,0
BBa_K145001,7,233,333,989,435.60799999999995,4,10,374,665,301,147,33,0
BBa_J32015,0,1,2,28,5.9441,0,0,17,10,12,8,1,0
BBa_I741005,14,80,188,378,206.13219999999998,6,24,191,273,147,52,7,0
BBa_K1321340,0,26,16,163,33.4618,3,3,64,73,97,20,8,0
BBa_I712009,2,10,7,37,10.3775,0,2,10,21,20,5,1,0
BBa_K115001,5,17,5,49,12.037400000000002,2,1,25,33,30,5,9,0
BBa_J06505,2,103,51,337,97.66629999999999,4,10,120,221,183,28,22,0
BBa_K1423000,0,3,5,27,8.843299999999997,3,0,9,12,16,3,0,0
BBa_I2032,7,233,333,989,435.60799999999995,4,10,374,665,301,147,33,0
BBa_J22106,1,9,37,52,34.1875,0,4,16,39,17,8,0,0
BBa_C0161,10,36,137,157,123.4865,2,20,30,119,27,22,1,0
BBa_C0056,9,63,102,235,115.85189999999999,2,10,54,169,80,35,3,0
BBa_K1150001,2,41,24,173,51.21729999999999,5,21,76,110,120,15,11,0
BBa_C0170,0,48,71,243,93.9579,11,6,89,127,121,45,4,0
BBa_K1321339,0,43,37,167,51.897800000000004,2,6,63,85,110,22,10,0
BBa_K648013,9,52,154,233,151.80819999999997,4,15,32,169,74,28,3,0
BBa_K1123000,3,13,15,51,21.708099999999998,6,6,3,36,31,4,2,0
BBa_C0160,8,65,165,230,159.31570000000002,8,18,53,187,65,27,2,0
BBa_K844003,0,51,15,88,22.826999999999995,19,0,8,68,40,16,0,0
BBa_I746364,1,11,9,32,13.411999999999999,0,1,11,22,11,7,1,0
BBa_R0061,1,4,2,9,3.2653000000000003,1,0,1,7,3,2,0,0
BBa_K116640,33,48,229,280,210.37569999999997,11,32,61,195,68,28,2,0
BBa_R2000,2,4,4,14,5.725499999999999,1,0,6,10,7,3,0,0
BBa_J61127,0,3,3,5,3.1341,0,0,0,5,1,1,0,0
BBa_K1051202,15,22,91,156,97.35930000000002,2,9,32,102,38,10,2,0
BBa_M300052,0,10,35,82,40.704299999999996,1,3,35,50,28,12,1,0
BBa_K1159316,12,88,194,357,199.2806,5,21,56,234,120,54,4,0
BBa_K1321337,0,62,109,228,119.48709999999998,7,10,94,159,76,35,7,0
BBa_K208004,0,1,2,28,5.9441,0,0,17,10,12,8,1,0
BBa_K1462503,4,24,41,74,43.9157,1,8,11,59,20,14,0,0
BBa_K648008,0,4,6,7,5.4742,0,1,0,7,3,1,0,0
BBa_K1462502,5,30,74,114,71.80749999999998,1,8,20,85,27,26,0,0
BBa_J176013,0,14,23,56,30.900399999999998,0,0,16,41,17,15,0,0
BBa_K243004,0,4,1,5,1.3043,0,0,0,4,3,2,0,0
BBa_K1462470,3,1,6,15,6.509500000000001,0,0,2,9,5,4,1,0
BBa_K302033,3,34,59,111,61.183699999999995,3,9,34,84,45,16,5,0
BBa_J176002,4,42,23,88,34.466699999999996,0,1,18,71,32,10,3,0
BBa_J176036,6,57,50,227,74.3493,5,7,43,148,104,27,11,1
BBa_J176000,6,35,23,84,32.04729999999999,1,3,31,67,41,5,3,0
BBa_J176001,0,20,23,70,32.4843,5,2,30,52,26,6,2,0
BBa_J176038,19,175,158,719,233.07099999999997,21,29,132,457,342,68,30,1
BBa_J176040,0,25,2,33,7.9276,2,0,8,31,16,6,0,0
BBa_K530019,15,12,89,84,76.58930000000001,0,14,6,48,15,7,0,0
BBa_J176037,6,72,89,377,127.33619999999998,10,14,64,229,165,32,11,0
BBa_J176132,16,45,17,126,32.987199999999994,7,0,48,102,29,17,0,0
BBa_J176130,0,100,8,136,32.126400000000004,8,0,36,128,64,21,0,0
BBa_B0042,1,0,3,3,2.0549999999999997,0,0,0,3,0,0,0,0
BBa_J176035,9,62,49,410,100.19449999999999,13,32,89,210,259,46,26,0
BBa_J176131,4,11,4,31,7.8826,2,0,12,23,8,6,0,0
BBa_J18909,0,0,0,5,2.9299999999999997,0,0,0,5,0,0,0,0
BBa_J18922,0,3,0,10,0.5755,0,0,11,10,5,0,0,0
BBa_B0053,1,4,22,23,17.044099999999997,0,8,9,12,14,2,0,0
BBa_J31007,19,100,80,478,148.55889999999997,12,9,263,294,238,58,38,1
BBa_I766101,2,107,46,343,96.64549999999998,4,10,122,225,187,29,22,0
BBa_J18919,0,4,3,11,3.3865000000000003,0,0,3,7,7,2,0,0
BBa_K1051000,0,66,110,249,123.1003,3,11,71,161,109,27,8,0
BBa_B0054,3,7,16,30,15.157199999999998,0,4,5,20,16,3,2,0
BBa_I766102,4,13,41,52,37.0864,2,9,10,39,15,11,0,0
BBa_J176039,1,7,0,15,3.8946000000000005,1,0,12,10,6,0,0,0
BBa_K145015,10,53,161,237,154.65939999999998,4,17,40,167,76,30,3,0
BBa_K133036,2,4,0,14,2.2517,1,0,1,7,7,6,1,0
BBa_J31006,26,121,80,478,148.55889999999997,12,9,263,331,238,42,38,0
BBa_K245131,0,48,10,62,13.844,5,1,19,49,50,10,3,0
BBa_J07009,9,31,113,228,128.8957,3,12,73,154,71,26,4,0
BBa_K1321002,2,15,68,67,57.89319999999999,1,3,14,50,13,8,0,0
BBa_K809601,16,28,121,174,112.67199999999997,4,22,53,104,59,17,8,0
BBa_K1321003,0,29,16,131,35.10459999999999,5,2,90,86,77,7,20,0
BBa_J176020,17,36,82,173,97.2723,3,12,34,130,38,19,1,0
BBa_K1462501,3,24,55,97,59.8541,3,4,16,73,22,23,1,0
BBa_J176018,10,29,99,172,98.93879999999999,4,9,41,107,73,11,3,0
BBa_K228100,10,29,46,121,54.00289999999999,5,13,32,80,50,9,5,0
BBa_K133016,5,126,250,523,275.0978,18,28,207,374,183,61,16,0
BBa_E0051,9,59,175,310,178.609,6,19,82,213,123,36,7,0
BBa_K176028,49,55,243,300,222.14609999999996,16,33,68,211,71,28,2,0
BBa_K1462080,5,12,47,59,41.5037,0,5,17,34,18,13,2,0
BBa_K116603,3,1,10,12,8.7073,0,0,6,7,3,3,1,0
BBa_K1486000,2,54,101,242,119.77950000000001,7,8,108,162,87,41,9,0
BBa_K165006,11,19,34,92,40.530499999999996,3,8,38,56,41,6,2,0
BBa_K245119,0,3,24,40,25.647699999999997,0,4,10,31,8,4,1,0
BBa_K133071,14,111,312,553,316.2782,10,34,169,380,191,82,7,0
BBa_M1528,78,257,477,1373,630.1279,48,39,475,888,451,237,42,0
BBa_K116602,6,29,47,106,57.030699999999996,1,7,46,83,34,18,8,0
BBa_J04031,10,53,161,237,154.65939999999998,4,17,40,167,76,30,3,0
BBa_K112903,4,10,23,55,27.4224,3,2,14,37,17,7,1,0
BBa_K200021,4,12,12,26,15.1813,1,0,5,24,3,4,0,0
BBa_K1486004,0,14,2,12,2.6308,0,0,0,10,8,7,0,0
BBa_I732005,16,240,339,1077,446.34350000000006,23,40,588,713,481,167,66,1
BBa_M0052,0,0,5,10,5.872999999999999,0,1,8,4,0,2,0,0
BBa_I766216,1,1,1,6,1.4083,0,0,0,3,4,0,0,0
BBa_K133133,1,0,0,7,0.2635,1,0,0,1,5,5,0,0
BBa_I766103,0,13,27,50,27.13009999999999,2,3,30,31,23,10,3,0
BBa_K133132,0,2,4,9,4.5202,0,0,3,4,2,2,0,0
BBa_J31000,16,40,96,186,100.1153,1,16,77,136,76,23,5,0
BBa_K233004,0,4,4,8,4.898199999999999,0,0,3,6,2,3,0,0
BBa_K309020,0,75,48,310,91.52389999999998,10,8,132,193,163,33,13,0
BBa_K209415,21,129,207,546,241.305,16,31,84,339,219,77,20,0
BBa_I766215,0,5,0,9,2.1962,0,0,3,7,3,0,0,0
BBa_K106015,0,5,0,9,2.1962,0,0,3,7,3,0,0,0
BBa_J176019,4,14,0,53,13.2765,0,0,14,33,15,5,0,0
BBa_K912005,8,136,210,459,212.49039999999997,6,37,274,309,252,84,28,0
BBa_K1463700,2,73,130,305,155.1147,4,18,151,218,116,42,11,0
BBa_K1463750,11,76,118,344,154.0284,14,19,151,240,150,38,17,0
BBa_J176028,14,67,42,251,66.62870000000001,4,18,101,156,159,22,24,0
BBa_J95021,2,5,0,9,2.7710999999999997,0,0,1,9,1,0,0,0
BBa_J52642,0,75,49,306,92.54249999999999,10,8,132,194,159,31,14,0
BBa_K245080,1,1,0,6,0.9201999999999999,1,0,3,4,2,0,0,0
BBa_K1615000,0,63,144,255,147.5955,11,17,115,186,94,63,10,0
BBa_J176022,3,54,46,301,84.06599999999997,4,10,116,167,172,31,16,0
BBa_K245114,5,13,27,49,29.308199999999996,1,4,5,39,14,6,0,0
BBa_K245118,0,7,19,40,21.499999999999996,0,2,15,33,11,4,3,0
BBa_K133010,0,39,95,220,111.72879999999998,6,10,84,150,65,28,5,0
BBa_K209401,25,192,160,603,226.68609999999995,8,26,163,385,261,92,31,0
BBa_K364319,17,32,79,163,92.5438,2,11,32,121,31,19,2,0
BBa_B0029,0,2,3,5,3.0411999999999995,0,0,0,4,2,0,1,0
BBa_K539711,0,114,179,518,230.6731,14,12,259,362,199,81,24,0
BBa_K079019,1,3,4,5,3.7150999999999996,0,0,2,4,1,0,0,0
BBa_K1615089,0,64,122,208,118.71159999999999,5,13,69,155,83,28,7,0
BBa_K133139,5,48,101,168,96.1425,4,14,61,125,77,26,5,0
BBa_K365005,0,4,2,22,4.263199999999999,0,0,29,20,13,0,5,0
BBa_K1092101,0,7,15,26,13.956899999999997,0,3,15,21,10,5,1,0
BBa_K157012,0,2,6,8,5.4853,0,2,3,6,3,1,0,0
BBa_K539714,22,86,422,516,392.42530000000005,7,67,90,374,117,54,5,0
BBa_K245126,0,7,22,40,23.724999999999994,0,3,6,30,12,4,0,0
BBa_K245113,1,38,36,138,51.7556,6,3,87,92,64,20,10,0
BBa_K392003,5,6,25,41,23.7369,2,3,9,19,10,4,0,0
BBa_K364167,0,1,1,8,2.0054,0,0,4,5,5,0,0,0
BBa_K165003,57,217,629,939,622.5459,18,97,170,705,264,111,13,0
BBa_K1362430,1,1,1,8,3.0623,0,0,0,6,3,0,0,0
BBa_K157011,0,0,0,5,2.9299999999999997,0,0,0,5,0,0,0,0
BBa_K157004,4,64,36,212,60.369799999999984,8,7,83,138,122,29,17,0
BBa_K809201,7,8,15,38,16.279300000000003,2,1,22,21,15,5,4,0
BBa_I712008,0,1,0,10,1.4465999999999999,0,1,6,2,9,0,0,0
BBa_K809001,6,45,151,195,147.17549999999997,5,15,16,158,35,13,1,0
BBa_K323107,1,33,38,89,40.707399999999986,1,6,33,63,40,14,1,0
BBa_K165007,10,64,45,202,68.23440000000001,7,8,71,137,94,27,10,0
BBa_K157009,1,0,9,19,10.6894,0,0,3,13,4,2,0,0
BBa_K190016,2,5,7,31,13.5745,0,1,7,19,5,4,1,0
BBa_K416003,2,3,29,34,24.5547,1,4,9,20,7,13,2,0
BBa_K245127,0,7,22,40,23.724999999999994,0,3,6,30,12,4,0,0
BBa_K112324,12,114,172,511,212.72539999999998,17,43,317,350,259,58,43,0
BBa_I50042,64,154,429,663,419.3131999999999,15,78,141,475,191,79,13,0
BBa_K602001,5,94,57,372,101.2271,7,13,266,231,214,37,37,0
BBa_K902019,3,48,120,226,128.4517,3,17,99,161,77,28,9,0
BBa_K165004,13,89,136,266,142.45969999999997,2,11,47,201,108,23,6,0
BBa_J70042,0,1,0,9,2.9743999999999997,1,0,1,6,4,0,0,0
BBa_K1615022,0,184,377,692,380.8412999999999,22,55,245,489,312,122,30,0
BBa_K1151006,38,63,149,265,153.91549999999998,10,19,93,193,97,25,12,0
BBa_J36835,0,7,11,33,12.750000000000002,2,1,12,20,12,6,1,0
BBa_K245121,0,9,23,36,21.3871,0,6,13,26,12,5,1,0
BBa_K156010,0,70,91,256,114.40359999999998,9,2,75,172,100,39,7,0
BBa_K539713,16,127,305,548,325.2451,19,39,213,415,170,76,20,0
BBa_K228236,19,82,165,326,172.98199999999997,10,27,93,231,112,38,7,1
BBa_K539712,1,150,212,662,278.6330999999999,21,23,355,441,304,93,48,0
BBa_K1051002,0,73,50,304,92.6193,9,7,130,190,154,32,13,0
BBa_I12024,24,94,177,355,188.95729999999998,12,27,98,257,115,42,7,1
BBa_I766007,30,97,210,463,230.99489999999997,7,17,180,329,159,55,15,0
BBa_J176023,35,121,251,477,273.943,14,20,94,356,135,64,6,0
BBa_K1139200,0,1,25,18,19.585199999999997,0,6,6,13,2,3,0,0
BBa_K1092102,2,44,48,141,55.96179999999999,0,11,50,104,72,17,11,0
BBa_K607015,8,69,132,255,136.63959999999994,5,24,65,185,95,29,4,1
BBa_K1520500,2,107,55,342,101.86339999999998,4,10,120,227,184,28,22,0
BBa_K1462000,9,8,25,37,23.895799999999994,2,2,5,28,9,3,0,0
BBa_K137113,11,38,127,180,129.20360000000002,3,19,50,134,53,21,2,0
BBa_S03536,41,76,158,330,168.6053,10,22,134,230,124,38,13,0
BBa_K209406,36,192,291,814,362.45959999999997,17,37,181,548,308,80,25,0
BBa_K1092103,3,81,133,345,151.3319,8,18,157,220,170,59,17,0
BBa_C0020,2,39,66,128,69.16749999999999,1,9,58,98,51,23,7,0
BBa_K392008,37,153,51,737,188.7412,20,18,476,441,423,49,92,0
BBa_E1030,0,2,1,8,2.8589999999999995,2,0,1,6,0,1,0,0
BBa_K1486037,0,13,0,21,2.9972,1,0,7,16,13,5,1,0
BBa_Z0301,0,64,111,258,125.56379999999999,8,7,62,158,102,41,8,0
